Influencer ID,Average Performance,Performance Variance,Video Count,Face Images
influencer_7,0.9945130434782606,0.3895432506994328,23,"faces/206c117a366e030291c08e32b1391cd4.jpg, faces/c45dadfd24b50df74e2d181a5ba61581.jpg, faces/3681e8d4f5a08b5c7094b58c4ceb4813.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/bc0e4155f9793d5e598fea637855b9bd.jpg, faces/206c117a366e030291c08e32b1391cd4.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/babe829391ac9bfdd84870d801e15dd8.jpg, faces/3681e8d4f5a08b5c7094b58c4ceb4813.jpg"
influencer_9,0.9940615384615384,0.3552300400591716,26,"faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/eb37ddd4150bcce1967c400f8446c151.jpg, faces/51f96d14b3c7b7e56856f9c3ed0c550f.jpg, faces/faf9c5bd201224a3172f8ac3ecfcddf0.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/d492bf896114e98bb4992da2f8d90e80.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/b554dc8bb4328ec9f638c3b4753ba9fc.jpg, faces/5c8e219480223da3dcf1c51245436e54.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/d492bf896114e98bb4992da2f8d90e80.jpg, faces/ec5a5d3c77a28574dd3d45cc8e13d6c3.jpg, faces/72d16f0ab32ed1163ed7afa8e31e88d8.jpg"
influencer_26,0.9871,0.28079401,2,"faces/7b1a79c8502cfda100c6f2d3600f2f32.jpg, faces/7b1a79c8502cfda100c6f2d3600f2f32.jpg"
influencer_27,0.9871,0.28079401,2,"faces/7bc44583d16413fab49005b86dd24f8d.jpg, faces/7bc44583d16413fab49005b86dd24f8d.jpg"
influencer_12,0.97418545095,0.1697999641043038,4,"faces/8b4f1764c24bf102a1d4bae5b0be2dda.jpg, faces/8b4f1764c24bf102a1d4bae5b0be2dda.jpg, faces/e43f743748c65cfb59c116fb226e84e4.jpg, faces/88bcef52e0c03d756a72ec886a65e6a9.jpg"
influencer_7,0.8799335583252381,0.277219030151578,63,"faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/98c097c4166819ad80ddf45a98960057.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/199c52129317560c5502f96e249fdbc4.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/199c52129317560c5502f96e249fdbc4.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/3d34e6c74ca939133c3afb67265274a8.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/98c097c4166819ad80ddf45a98960057.jpg, faces/1b9a82b14a6a486e9ec0017fde9c3cbb.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/98c097c4166819ad80ddf45a98960057.jpg, faces/1b9a82b14a6a486e9ec0017fde9c3cbb.jpg, faces/1b9a82b14a6a486e9ec0017fde9c3cbb.jpg, faces/1b9a82b14a6a486e9ec0017fde9c3cbb.jpg, faces/02e086bf00df1ae2743a3c6056fb1199.jpg, faces/a3d937afeeaf28e8eb1c00813109b778.jpg, faces/98c097c4166819ad80ddf45a98960057.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/3dd9d0d1e397123300f1236928044846.jpg"
influencer_6,0.865373577020566,0.2619070354249309,53,"faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/0051fea5501cadbac1ace62257f5104c.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/0051fea5501cadbac1ace62257f5104c.jpg, faces/0051fea5501cadbac1ace62257f5104c.jpg, faces/0051fea5501cadbac1ace62257f5104c.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg, faces/d034c298608194225eef5174f0a9684d.jpg"
influencer_18,0.8652666666666665,0.2213915822222222,3,"faces/b4a68d511d8e121d8f23cecfeedf44ba.jpg, faces/d962b5c511d59a76ce3f39efe62feb03.jpg, faces/9e690b36da671c2b08a31b09edac3ba5.jpg"
influencer_17,0.85725,0.1937481658333333,6,"faces/a388762b70f9c812fbb2bffe708237df.jpg, faces/88bcef52e0c03d756a72ec886a65e6a9.jpg, faces/bb64d6d85834fbea9d0ef725c28879f3.jpg, faces/fa97a7971459a0c4ee05e4e856ed5c39.jpg, faces/dac5971c5eb4669c0728654ead87f10a.jpg, faces/dac5971c5eb4669c0728654ead87f10a.jpg"
influencer_8,0.8554351013166667,0.3037079877512206,6,"faces/086a0c1af6969bf67e25d68309bd1c6d.jpg, faces/aa89e6af599105482437473023af47d8.jpg, faces/73b798f2ee9fcf8c3ce5bea0375aa118.jpg, faces/7465e4116bfb2fa73f8aaefc2640d90c.jpg, faces/aa89e6af599105482437473023af47d8.jpg, faces/ff80bffb8b04890eb50e04d3b38990b1.jpg"
